ShipmentID,ShipDate,Origin,Destination,Route,Distance_km,Weight_tons,Mode,Carrier,BaseCost,FuelCost,OtherCost,TotalCost,Cost_per_TonKm,Fuel_Percentage,FuelPrice
3750,01-01-2024,Chennai,Pune,Chennai-Pune,2291,12,Air,IndianRail,109968,49485,3794,163247,5.937981958,30.31296134,96.03
2515,01-01-2024,Bangalore,Delhi,Bangalore-Delhi,1836,24,Road,IndigoCargo,88128,30844,4216,123188,2.795660857,25.03815307,96.03
1870,01-01-2024,Kolkata,Ahmedabad,Kolkata-Ahmedabad,1295,15,Air,DHL,77700,34965,1735,114400,5.889317889,30.56381119,96.03
2405,01-01-2024,Ahmedabad,Delhi,Ahmedabad-Delhi,1962,21,Road,BlueDart,82404,28841,5289,116534,2.828357847,24.74900029,96.03
2858,01-01-2024,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,609,25,Air,VRLLogistics,60900,27405,4000,92305,6.06272578,29.68961595,96.03
4992,01-01-2024,Chennai,Bangalore,Chennai-Bangalore,960,28,Air,IndianRail,107520,48384,2993,158897,5.911346726,30.4499141,96.03
196,01-01-2024,Bangalore,Chennai,Bangalore-Chennai,1332,23,Air,DHL,122544,55144,9558,187246,6.111959786,29.45002831,96.03
2472,01-01-2024,Chennai,Ahmedabad,Chennai-Ahmedabad,2387,10,Rail,DHL,35805,8951,1581,46337,1.941223293,19.31717634,96.03
4754,01-01-2024,Bangalore,Pune,Bangalore-Pune,2474,11,Road,DHL,54428,19049,1334,74811,2.748989491,25.46283301,96.03
1221,01-01-2024,Pune,Delhi,Pune-Delhi,1611,17,Road,DHL,54774,19170,1232,75176,2.744951985,25.50015963,96.03
58,01-01-2024,Ahmedabad,Pune,Ahmedabad-Pune,824,7,Air,IndianRail,23072,10382,957,34411,5.965846047,30.17058499,96.03
3237,02-01-2024,Kolkata,Chennai,Kolkata-Chennai,597,8,Road,IndigoCargo,9552,3343,751,13646,2.85720268,24.4980214,96.03
1445,02-01-2024,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1278,13,Road,VRLLogistics,33228,11629,1010,45867,2.760743951,25.35374016,96.03
2497,02-01-2024,Mumbai,Delhi,Mumbai-Delhi,1310,19,Road,BlueDart,49780,17423,3856,71059,2.854921655,24.51906162,96.03
1963,02-01-2024,Delhi,Kolkata,Delhi-Kolkata,838,10,Air,IndianRail,33520,15084,995,49599,5.918735084,30.41190347,96.03
1356,02-01-2024,Mumbai,Bangalore,Mumbai-Bangalore,2246,18,Rail,BlueDart,60642,15160,1988,77790,1.924161472,19.48836611,96.03
3681,02-01-2024,Chennai,Hyderabad,Chennai-Hyderabad,2078,9,Air,BlueDart,74808,33663,1639,110110,5.887605604,30.57215512,96.03
43,02-01-2024,Pune,Bangalore,Pune-Bangalore,2189,17,Rail,SpiceJetCargo,55819,13954,2517,72290,1.942600704,19.30280813,96.03
81,02-01-2024,Chennai,Bangalore,Chennai-Bangalore,1835,21,Air,SpiceJetCargo,154140,69363,6519,230022,5.969170884,30.1549417,96.03
2418,03-01-2024,Bangalore,Kolkata,Bangalore-Kolkata,1912,21,Road,BlueDart,80304,28106,6349,114759,2.858114166,24.4913253,96.03
4651,03-01-2024,Kolkata,Chennai,Kolkata-Chennai,2130,29,Rail,VRLLogistics,92655,23163,4826,120644,1.9531164,19.19946288,96.03
2145,03-01-2024,Delhi,Bangalore,Delhi-Bangalore,1789,25,Rail,IndigoCargo,67087,16771,2045,85903,1.920693125,19.52318313,96.03
3090,03-01-2024,Kolkata,Mumbai,Kolkata-Mumbai,1687,12,Rail,DHL,30366,7591,1849,39806,1.966311006,19.06998945,96.03
2352,03-01-2024,Kolkata,Pune,Kolkata-Pune,1051,14,Air,VRLLogistics,58856,26485,3635,88976,6.047030039,29.76645388,96.03
3827,04-01-2024,Kolkata,Bangalore,Kolkata-Bangalore,695,30,Road,DHL,41700,14594,837,57131,2.740095923,25.54480055,96.03
3790,04-01-2024,Delhi,Hyderabad,Delhi-Hyderabad,1730,10,Rail,IndigoCargo,25950,6487,847,33284,1.923930636,19.48984497,96.03
3320,04-01-2024,Hyderabad,Kolkata,Hyderabad-Kolkata,1343,30,Road,IndianRail,80580,28203,5495,114278,2.8363862,24.67929085,96.03
3286,04-01-2024,Hyderabad,Kolkata,Hyderabad-Kolkata,1231,27,Air,DHL,132948,59826,6473,199247,5.994734784,30.02604807,96.03
311,04-01-2024,Ahmedabad,Bangalore,Ahmedabad-Bangalore,1410,13,Air,VRLLogistics,73320,32994,1846,108160,5.90070922,30.50480769,96.03
1857,04-01-2024,Mumbai,Hyderabad,Mumbai-Hyderabad,1739,19,Air,IndigoCargo,132164,59473,5451,197088,5.964952635,30.17586053,96.03
773,04-01-2024,Pune,Chennai,Pune-Chennai,1304,25,Road,IndigoCargo,65200,22820,4698,92718,2.844110429,24.61226515,96.03
