ShipmentID,ShipDate,Origin,Destination,Route,Distance_km,Weight_tons,Mode,Carrier,BaseCost,FuelCost,OtherCost
1,2024-05-14,Delhi,Chennai,Delhi-Chennai,785,13,Rail,BlueDart,15307,3826,1039
2,2024-03-04,Hyderabad,Bangalore,Hyderabad-Bangalore,774,10,Rail,IndigoCargo,11610,2902,272
3,2024-04-21,Mumbai,Ahmedabad,Mumbai-Ahmedabad,812,23,Rail,IndigoCargo,28014,7003,878
4,2024-09-27,Delhi,Ahmedabad,Delhi-Ahmedabad,1084,22,Rail,IndigoCargo,35772,8943,1992
5,2025-04-22,Chennai,Bangalore,Chennai-Bangalore,1073,28,Air,IndianRail,120176,54079,5363
6,2024-01-14,Delhi,Hyderabad,Delhi-Hyderabad,2388,12,Air,BlueDart,114624,51580,4176
7,2024-03-23,Chennai,Hyderabad,Chennai-Hyderabad,2012,27,Rail,BlueDart,81486,20371,5846
8,2024-08-05,Delhi,Hyderabad,Delhi-Hyderabad,2477,16,Air,BlueDart,158528,71337,11224
9,2024-02-24,Ahmedabad,Bangalore,Ahmedabad-Bangalore,1973,29,Road,BlueDart,114434,40051,8826
10,2024-03-29,Chennai,Mumbai,Chennai-Mumbai,1642,9,Road,VRLLogistics,29556,10344,1025
11,2024-08-29,Hyderabad,Delhi,Hyderabad-Delhi,900,25,Rail,SpiceJetCargo,33750,8437,2241
12,2024-02-15,Kolkata,Bangalore,Kolkata-Bangalore,1053,15,Air,BlueDart,63180,28431,2510
13,2024-12-09,Hyderabad,Delhi,Hyderabad-Delhi,438,27,Road,BlueDart,23652,8278,531
14,2025-05-09,Hyderabad,Mumbai,Hyderabad-Mumbai,982,22,Air,SpiceJetCargo,86416,38887,2907
15,2025-07-28,Chennai,Delhi,Chennai-Delhi,1627,29,Rail,IndigoCargo,70774,17693,5535
16,2025-05-03,Ahmedabad,Chennai,Ahmedabad-Chennai,1410,17,Rail,IndigoCargo,35955,8988,2160
17,2025-02-07,Chennai,Bangalore,Chennai-Bangalore,1374,26,Air,IndianRail,142896,64303,6145
18,2025-06-02,Kolkata,Hyderabad,Kolkata-Hyderabad,1340,14,Rail,SpiceJetCargo,28140,7035,1914
19,2025-03-26,Mumbai,Ahmedabad,Mumbai-Ahmedabad,856,14,Rail,VRLLogistics,17976,4494,1040
20,2024-09-11,Ahmedabad,Kolkata,Ahmedabad-Kolkata,855,11,Road,BlueDart,18810,6583,610
21,2025-04-19,Delhi,Bangalore,Delhi-Bangalore,1087,25,Rail,IndianRail,40762,10190,907
22,2025-02-10,Pune,Delhi,Pune-Delhi,449,24,Road,VRLLogistics,21552,7543,1534
23,2025-07-16,Ahmedabad,Delhi,Ahmedabad-Delhi,1103,19,Rail,DHL,31435,7858,2287
24,2024-03-30,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,1835,27,Rail,IndianRail,74317,18579,2469
25,2024-04-26,Delhi,Mumbai,Delhi-Mumbai,1373,5,Air,VRLLogistics,27460,12357,2096
26,2025-01-30,Hyderabad,Pune,Hyderabad-Pune,2341,8,Air,BlueDart,74912,33710,2718
27,2024-04-06,Kolkata,Delhi,Kolkata-Delhi,1117,12,Rail,SpiceJetCargo,20106,5026,731
28,2025-05-17,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,2248,26,Air,IndianRail,233792,105206,6617
29,2025-06-03,Hyderabad,Chennai,Hyderabad-Chennai,724,20,Air,IndigoCargo,57920,26064,4025
30,2025-05-01,Bangalore,Mumbai,Bangalore-Mumbai,2090,26,Road,VRLLogistics,108680,38038,3848
31,2025-02-18,Bangalore,Hyderabad,Bangalore-Hyderabad,957,5,Air,IndigoCargo,19140,8613,856
32,2025-05-23,Mumbai,Chennai,Mumbai-Chennai,1201,5,Air,BlueDart,24020,10809,1575
33,2024-10-04,Chennai,Bangalore,Chennai-Bangalore,1862,10,Rail,SpiceJetCargo,27930,6982,2055
34,2024-11-19,Pune,Bangalore,Pune-Bangalore,1262,25,Air,IndigoCargo,126200,56790,9550
35,2024-12-06,Hyderabad,Bangalore,Hyderabad-Bangalore,1222,28,Road,VRLLogistics,68432,23951,3609
36,2024-02-12,Chennai,Pune,Chennai-Pune,783,5,Road,VRLLogistics,7830,2740,536
37,2024-03-11,Mumbai,Delhi,Mumbai-Delhi,2444,26,Air,SpiceJetCargo,254176,114379,17050
38,2024-03-17,Chennai,Bangalore,Chennai-Bangalore,455,10,Road,SpiceJetCargo,9100,3185,211
39,2025-03-17,Ahmedabad,Mumbai,Ahmedabad-Mumbai,890,24,Air,IndigoCargo,85440,38448,2283
40,2024-11-13,Delhi,Ahmedabad,Delhi-Ahmedabad,1322,14,Road,IndianRail,37016,12955,2633
41,2025-06-10,Bangalore,Kolkata,Bangalore-Kolkata,351,25,Air,VRLLogistics,35100,15795,2076
42,2025-05-20,Mumbai,Pune,Mumbai-Pune,1036,24,Rail,IndianRail,37296,9324,1772
43,2024-01-02,Pune,Bangalore,Pune-Bangalore,2189,17,Rail,SpiceJetCargo,55819,13954,2517
44,2024-02-08,Pune,Hyderabad,Pune-Hyderabad,1065,7,Air,BlueDart,29820,13419,682
45,2024-02-07,Hyderabad,Chennai,Hyderabad-Chennai,453,27,Road,SpiceJetCargo,24462,8561,1495
46,2024-07-12,Mumbai,Ahmedabad,Mumbai-Ahmedabad,2189,12,Rail,IndianRail,39402,9850,1112
47,2024-01-30,Bangalore,Delhi,Bangalore-Delhi,2406,23,Road,IndianRail,110676,38736,8038
48,2025-03-15,Kolkata,Pune,Kolkata-Pune,1940,22,Air,IndigoCargo,170720,76824,4036
49,2025-03-14,Hyderabad,Delhi,Hyderabad-Delhi,1470,21,Rail,IndianRail,46305,11576,3213
50,2025-06-15,Hyderabad,Delhi,Hyderabad-Delhi,353,10,Rail,IndianRail,5295,1323,346
51,2024-06-07,Pune,Hyderabad,Pune-Hyderabad,529,28,Air,SpiceJetCargo,59248,26661,4137
52,2024-04-30,Bangalore,Mumbai,Bangalore-Mumbai,1634,20,Rail,DHL,49020,12255,1156
53,2025-05-12,Hyderabad,Chennai,Hyderabad-Chennai,2345,6,Rail,IndianRail,21105,5276,457
54,2024-06-18,Ahmedabad,Mumbai,Ahmedabad-Mumbai,855,9,Road,VRLLogistics,15390,5386,913
55,2024-10-17,Pune,Kolkata,Pune-Kolkata,649,28,Air,BlueDart,72688,32709,3644
56,2024-02-20,Mumbai,Delhi,Mumbai-Delhi,745,15,Road,IndigoCargo,22350,7822,1230
57,2024-04-06,Ahmedabad,Delhi,Ahmedabad-Delhi,2319,9,Air,VRLLogistics,83484,37567,4761
58,2024-01-01,Ahmedabad,Pune,Ahmedabad-Pune,824,7,Air,IndianRail,23072,10382,957
59,2024-01-11,Chennai,Delhi,Chennai-Delhi,823,16,Air,VRLLogistics,52672,23702,2739
60,2024-02-02,Ahmedabad,Kolkata,Ahmedabad-Kolkata,645,17,Air,IndigoCargo,43860,19737,2291
61,2025-03-14,Hyderabad,Mumbai,Hyderabad-Mumbai,2446,16,Road,SpiceJetCargo,78272,27395,6105
62,2025-01-30,Mumbai,Delhi,Mumbai-Delhi,1676,5,Rail,DHL,12570,3142,370
63,2024-09-18,Delhi,Chennai,Delhi-Chennai,2241,13,Rail,IndianRail,43699,10924,1400
64,2024-12-18,Delhi,Bangalore,Delhi-Bangalore,644,29,Road,BlueDart,37352,13073,2062
65,2025-06-05,Kolkata,Hyderabad,Kolkata-Hyderabad,1700,5,Air,DHL,34000,15300,777
66,2024-02-26,Bangalore,Chennai,Bangalore-Chennai,2344,29,Road,BlueDart,135952,47583,3101
67,2025-06-12,Bangalore,Kolkata,Bangalore-Kolkata,1583,18,Road,VRLLogistics,56988,19945,4008
68,2025-04-14,Ahmedabad,Pune,Ahmedabad-Pune,2007,30,Road,VRLLogistics,120420,42147,5018
69,2025-07-18,Bangalore,Pune,Bangalore-Pune,376,9,Air,DHL,13536,6091,731
70,2025-05-04,Pune,Kolkata,Pune-Kolkata,1871,30,Air,BlueDart,224520,101034,17710
71,2025-05-31,Kolkata,Bangalore,Kolkata-Bangalore,2311,12,Road,IndianRail,55464,19412,3493
72,2024-04-25,Kolkata,Ahmedabad,Kolkata-Ahmedabad,584,22,Road,SpiceJetCargo,25696,8993,1451
73,2024-02-15,Pune,Hyderabad,Pune-Hyderabad,2015,16,Road,BlueDart,64480,22568,2672
74,2024-09-23,Kolkata,Hyderabad,Kolkata-Hyderabad,1115,7,Air,BlueDart,31220,14049,1025
75,2024-01-08,Delhi,Pune,Delhi-Pune,1152,28,Air,VRLLogistics,129024,58060,6096
