ShipmentID,ShipDate,Origin,Destination,Route,Distance_km,Weight_tons,Mode,Carrier,BaseCost,FuelCost,OtherCost,TotalCost,Cost_per_TonKm,Fuel_Percentage,FuelPrice,New_Fuel_Cost,Scenario1_TotalCost,Scenario3_TotalCost,Scenario4_TotalCost,Ton_Km,CPTK_Original,CPTK_Scenario1,CPTK_Scenario3,CPTK_Scenario4
3750,2024-01-01,Chennai,Pune,Chennai-Pune,2291,12,Air,IndianRail,109968,49485,3794,163247,5.937981958387895,30.31296134079033,96.03,54433.50000000001,168195.5,163149.635,54528.7905,27492,5.937981958387895,6.117979775934818,5.934440382656773,1.9834421104321258
2515,2024-01-01,Bangalore,Delhi,Bangalore-Delhi,1836,24,Road,IndigoCargo,88128,30844,4216,123188,2.795660856935367,25.03815306685716,96.03,33928.4,126272.4,126272.4,43270.31999999999,44064,2.795660856935367,2.8656590413943355,2.8656590413943355,0.9819880174291937
1870,2024-01-01,Kolkata,Ahmedabad,Kolkata-Ahmedabad,1295,15,Air,DHL,77700,34965,1735,114400,5.88931788931789,30.56381118881119,96.03,38461.5,117896.5,114359.605,42169.51149999999,19425,5.88931788931789,6.069317889317889,5.887238352638352,2.1708886229086226
2405,2024-01-01,Ahmedabad,Delhi,Ahmedabad-Delhi,1962,21,Road,BlueDart,82404,28841,5289,116534,2.8283578467064707,24.749000291760343,96.03,31725.100000000002,119418.1,119418.1,43807.11,41202,2.8283578467064707,2.898356875879812,2.898356875879812,1.063227755934178
2858,2024-01-01,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,609,25,Air,VRLLogistics,60900,27405,4000,92305,6.06272577996716,29.68961594713179,96.03,30145.500000000004,95045.5,92194.135,37359.1205,15225,6.06272577996716,6.242725779967159,6.055444006568144,2.4538010180623973
4992,2024-01-01,Chennai,Bangalore,Chennai-Bangalore,960,28,Air,IndianRail,107520,48384,2993,158897,5.911346726190477,30.449914095294435,96.03,53222.4,163735.4,158823.338,53146.48139999999,26880,5.911346726190477,6.091346726190476,5.9086063244047615,1.9771756473214281
196,2024-01-01,Bangalore,Chennai,Bangalore-Chennai,1332,23,Air,DHL,122544,55144,9558,187246,6.11195978587283,29.450028305010523,96.03,60658.4,192760.4,186977.588,67978.43639999999,30636,6.11195978587283,6.29195717456587,6.103198459328894,2.2189070505287893
2472,2024-01-01,Chennai,Ahmedabad,Chennai-Ahmedabad,2387,10,Rail,DHL,35805,8951,1581,46337,1.941223292836196,19.317176338563137,96.03,9846.1,47232.1,47232.1,20530.6,23870,1.941223292836196,1.978722245496439,1.978722245496439,0.8601005446166736
4754,2024-01-01,Bangalore,Pune,Bangalore-Pune,2474,11,Road,DHL,54428,19049,1334,74811,2.7489894907033143,25.462833005841382,96.03,20953.9,76715.9,76715.9,32411.779999999995,27214,2.7489894907033143,2.818986551039906,2.818986551039906,1.1909965458954948
1221,2024-01-01,Pune,Delhi,Pune-Delhi,1611,17,Road,DHL,54774,19170,1232,75176,2.744951984518202,25.500159625412365,96.03,21087.0,77093.0,77093.0,28927.469999999998,27387,2.744951984518202,2.8149486982875085,2.8149486982875085,1.0562482199583743
58,2024-01-01,Ahmedabad,Pune,Ahmedabad-Pune,824,7,Air,IndianRail,23072,10382,957,34411,5.965846047156727,30.17058498735869,96.03,11420.2,35449.2,34385.723999999995,16174.787199999997,5768,5.9658460471567265,6.145839112343967,5.961463938973647,2.8042280166435503
3237,2024-01-02,Kolkata,Chennai,Kolkata-Chennai,597,8,Road,IndigoCargo,9552,3343,751,13646,2.857202680067002,24.49802139821193,96.03,3677.3,13980.3,13980.3,10820.43,4776,2.857202680067002,2.9271984924623116,2.9271984924623116,2.265584170854271
1445,2024-01-02,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1278,13,Road,VRLLogistics,33228,11629,1010,45867,2.760743950884796,25.35374016177208,96.03,12791.900000000001,47029.9,47029.9,19938.5,16614,2.760743950884796,2.830739135668713,2.830739135668713,1.20010232334176
2497,2024-01-02,Mumbai,Delhi,Mumbai-Delhi,1310,19,Road,BlueDart,49780,17423,3856,71059,2.8549216552832464,24.51906162484696,96.03,19165.300000000003,72801.3,72801.3,28759.82,24890,2.8549216552832464,2.924921655283246,2.924921655283246,1.1554768983527521
1963,2024-01-02,Delhi,Kolkata,Delhi-Kolkata,838,10,Air,IndianRail,33520,15084,995,49599,5.918735083532219,30.41190346579568,96.03,16592.4,51107.4,49574.178,20296.9734,8380,5.918735083532219,6.09873508353222,5.915773031026253,2.422073198090692
1356,2024-01-02,Mumbai,Bangalore,Mumbai-Bangalore,2246,18,Rail,BlueDart,60642,15160,1988,77790,1.924161472246957,19.488366113896387,96.03,16676.0,79306.0,79306.0,28951.989999999998,40428,1.9241614722469575,1.96166023548036,1.96166023548036,0.7161370832096566
3681,2024-01-02,Chennai,Hyderabad,Chennai-Hyderabad,2078,9,Air,BlueDart,74808,33663,1639,110110,5.887605603678751,30.57215511760966,96.03,37029.3,113476.3,110072.011,38584.4333,18702,5.887605603678751,6.067602395465726,5.8855743236017535,2.0631180248101804
43,2024-01-02,Pune,Bangalore,Pune-Bangalore,2189,17,Rail,SpiceJetCargo,55819,13954,2517,72290,1.9426007040550344,19.302808133905103,96.03,15349.400000000001,73685.4,73685.4,29576.649999999998,37213,1.9426007040550346,1.9800983527261977,1.9800983527261977,0.794793486147314
81,2024-01-02,Chennai,Bangalore,Chennai-Bangalore,1835,21,Air,SpiceJetCargo,154140,69363,6519,230022,5.969170883612301,30.154941701228577,96.03,76299.3,236958.3,229849.55099999998,74454.34529999999,38535,5.969170883612301,6.1491708836123005,5.9646957571039305,1.9321226235889448
2418,2024-01-03,Bangalore,Kolkata,Bangalore-Kolkata,1912,21,Road,BlueDart,80304,28106,6349,114759,2.8581141661685594,24.49132529910508,96.03,30916.600000000002,117569.6,117569.6,42872.53,40152,2.8581141661685594,2.9281131699541745,2.9281131699541745,1.067755778043435
4651,2024-01-03,Kolkata,Chennai,Kolkata-Chennai,2130,29,Rail,VRLLogistics,92655,23163,4826,120644,1.9531163995467056,19.199462882530423,96.03,25479.300000000003,122960.3,122960.3,43514.42999999999,61770,1.9531163995467056,1.990615185365064,1.990615185365064,0.7044589606605147
2145,2024-01-03,Delhi,Bangalore,Delhi-Bangalore,1789,25,Rail,IndigoCargo,67087,16771,2045,85903,1.920693124650643,19.523183125152787,96.03,18448.100000000002,87580.1,87580.1,32178.320000000003,44725,1.920693124650643,1.9581911682504194,1.9581911682504194,0.7194705422023477
3090,2024-01-03,Kolkata,Mumbai,Kolkata-Mumbai,1687,12,Rail,DHL,30366,7591,1849,39806,1.9663110057300928,19.06998944882681,96.03,8350.1,40565.1,40565.1,18875.739999999998,20244,1.9663110057300928,2.0038085358624778,2.0038085358624778,0.9324115787393795
2352,2024-01-03,Kolkata,Pune,Kolkata-Pune,1051,14,Air,VRLLogistics,58856,26485,3635,88976,6.0470300394182415,29.766453875202306,96.03,29133.500000000004,91624.5,88875.765,32198.3995,14714,6.0470300394182415,6.227028680168547,6.04021781976349,2.188283233655022
3827,2024-01-04,Kolkata,Bangalore,Kolkata-Bangalore,695,30,Road,DHL,41700,14594,837,57131,2.740095923261391,25.544800546113315,96.03,16053.400000000001,58590.4,58590.4,25139.219999999998,20850,2.740095923261391,2.8100911270983215,2.8100911270983215,1.2057179856115108
3790,2024-01-04,Delhi,Hyderabad,Delhi-Hyderabad,1730,10,Rail,IndigoCargo,25950,6487,847,33284,1.9239306358381505,19.489844970556423,96.03,7135.700000000001,33932.7,33932.7,15890.619999999999,17300,1.9239306358381503,1.9614277456647398,1.9614277456647398,0.9185329479768786
3320,2024-01-04,Hyderabad,Kolkata,Hyderabad-Kolkata,1343,30,Road,IndianRail,80580,28203,5495,114278,2.83638620004964,24.67929085213252,96.03,31023.300000000003,117098.3,117098.3,40721.439999999995,40290,2.83638620004964,2.9063862000496403,2.9063862000496403,1.0107083643584014
3286,2024-01-04,Hyderabad,Kolkata,Hyderabad-Kolkata,1231,27,Air,DHL,132948,59826,6473,199247,5.994734783524385,30.026048070987265,96.03,65808.6,205229.6,199072.712,65313.76359999999,33237,5.994734783524385,6.174732978307309,5.989490988958089,1.965092023949213
311,2024-01-04,Ahmedabad,Bangalore,Ahmedabad-Bangalore,1410,13,Air,VRLLogistics,73320,32994,1846,108160,5.900709219858156,30.504807692307693,96.03,36293.4,111459.4,108115.61799999999,37677.475399999996,18330,5.900709219858156,6.080709219858155,5.89828794326241,2.055508750681942
1857,2024-01-04,Mumbai,Hyderabad,Mumbai-Hyderabad,1739,19,Air,IndigoCargo,132164,59473,5451,197088,5.96495263460549,30.175860529306707,96.03,65420.3,203035.3,196944.24099999998,64328.86229999999,33041,5.96495263460549,6.144950213371265,5.960601706970127,1.9469405375139976
773,2024-01-04,Pune,Chennai,Pune-Chennai,1304,25,Road,IndigoCargo,65200,22820,4698,92718,2.844110429447853,24.61226514808344,96.03,25102.000000000004,95000.0,95000.0,34845.22,32600,2.844110429447853,2.914110429447853,2.914110429447853,1.0688717791411044
2682,2024-01-04,Mumbai,Pune,Mumbai-Pune,1688,14,Rail,IndigoCargo,35448,8862,959,45269,1.915580568720379,19.576310499458792,96.03,9748.2,46155.2,46155.2,21739.76,23632,1.915580568720379,1.953080568720379,1.953080568720379,0.9199289099526066
4674,2024-01-05,Bangalore,Chennai,Bangalore-Chennai,2498,30,Road,SpiceJetCargo,149880,52458,6208,208546,2.7828396050173474,25.15416263078649,96.03,57703.8,213791.8,213791.8,76022.7,74940,2.7828396050173474,2.8528396050173472,2.8528396050173472,1.0144475580464372
3306,2024-01-05,Pune,Delhi,Pune-Delhi,2014,6,Rail,IndigoCargo,18126,4531,431,23088,1.910625620655412,19.624913374913376,96.03,4984.1,23541.1,23541.1,12861.899999999998,12084,1.9106256206554122,1.9481214829526645,1.9481214829526645,1.0643743793445877
3264,2024-01-05,Hyderabad,Mumbai,Hyderabad-Mumbai,393,28,Rail,IndigoCargo,16506,4126,1191,21823,1.9831879316612144,18.906658113000045,96.03,4538.6,22235.6,22235.6,13660.529999999999,11004,1.9831879316612142,2.02068338785896,2.02068338785896,1.2414149400218102
1166,2024-01-05,Ahmedabad,Mumbai,Ahmedabad-Mumbai,1425,10,Rail,IndianRail,21375,5343,1189,27907,1.9583859649122808,19.14573404522163,96.03,5877.3,28441.3,28441.3,16264.73,14250,1.9583859649122808,1.9958807017543858,1.9958807017543858,1.1413845614035087
4185,2024-01-05,Delhi,Chennai,Delhi-Chennai,2301,5,Rail,BlueDart,17257,4314,1114,22685,1.9717514124293785,19.016971567114837,96.03,4745.400000000001,23116.4,23116.4,13125.93,11505,1.9717514124293785,2.0092481529769666,2.0092481529769666,1.1408891786179922
159,2024-01-05,Pune,Chennai,Pune-Chennai,2075,9,Rail,DHL,28012,7003,1504,36519,1.9555020080321288,19.176319176319176,96.03,7703.3,37219.3,37219.3,17511.010000000002,18675,1.9555020080321286,1.9930013386880858,1.9930013386880858,0.9376712182061581
4859,2024-01-05,Hyderabad,Bangalore,Hyderabad-Bangalore,1710,17,Road,VRLLogistics,58140,20349,2865,81354,2.798555211558308,25.01290655653072,96.03,22383.9,83388.9,83388.9,31863.789999999997,29070,2.7985552115583077,2.8685552115583075,2.8685552115583075,1.0961056071551427
3755,2024-01-05,Chennai,Kolkata,Chennai-Kolkata,2108,13,Air,BlueDart,109616,49327,3637,162580,5.932710553203912,30.340140238651745,96.03,54259.700000000004,167512.7,162487.31900000002,58183.945700000004,27404,5.932710553203912,6.112709823383448,5.929328528681945,2.1231917128886297
1342,2024-01-06,Chennai,Bangalore,Chennai-Bangalore,1033,16,Rail,BlueDart,24792,6198,739,31729,1.9197120038722169,19.53418008761701,96.03,6817.8,32348.8,32348.8,15204.119999999999,16528,1.9197120038722169,1.9572120038722167,1.9572120038722167,0.9199007744433688
4824,2024-01-06,Hyderabad,Delhi,Hyderabad-Delhi,1452,18,Road,BlueDart,52272,18295,2104,72671,2.7804943373125197,25.175104236903305,96.03,20124.5,74500.5,74500.5,33286.39,26136,2.7804943373125193,2.8504935720844813,2.8504935720844813,1.2735839455157636
4307,2024-01-06,Ahmedabad,Chennai,Ahmedabad-Chennai,1379,13,Air,VRLLogistics,71708,32268,2731,106707,5.952306576672059,30.239815569737694,96.03,35494.8,109933.8,106635.786,37237.79579999999,17927,5.952306576672059,6.132303229765159,5.948334132872204,2.07719059519161
4676,2024-01-06,Bangalore,Ahmedabad,Bangalore-Ahmedabad,1780,9,Road,BlueDart,32040,11214,851,44105,2.7531210986267167,25.4256886974266,96.03,12335.400000000001,45226.4,45226.4,20267.829999999998,16020,2.7531210986267167,2.8231210986267166,2.8231210986267166,1.2651579275905118
